Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R81,10k,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,155.95,-113.7,90,top
R82,10k,R_0805_2012Metric,128.6,-112.6,90,top
R83,316k,R_0805_2012Metric,146.55,-87.6,90,top
R84,101k,R_0805_2012Metric,149.85,-87,0,top
R85,41k2,R_0805_2012Metric,156.5625,-88.3,90,top
R86,10k,R_0603_1608Metric,122.025,-124.2,180,top
R87,10k,R_0603_1608Metric,118.925,-124.2,0,top
TP1,Battery +,PAD,146.15,-78.85,180,top
TP2,Battery -,PAD,124.55,-72.8,0,top
TP3,CHARGER-,PAD,131.55,-72.8,0,top
TP4,TestPoint,PAD,140.1,-78.9,180,top
U1,BQ76940DBT,TSSOP-44_4.4x11.2mm_P0.5mm,121.45,-106.3,180,top
U2,STM32L476RGTx,LQFP-64_10x10mm_P0.5mm,141.75,-123.3,180,top
U3,BQ76200PW,TSSOP-16_4.4x5mm_P0.65mm,132.25,-91.2,90,top
U4,INA181,SOT-23-6,119.6,-121.0375,-90,top
U5,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,134.65,-135.6,0,top
U6,USBLC6-2SC6,SOT-23-6,123.55,-126.7,180,top
U8,ME6118A33,SOT-89-3,143.55,-92.2,0,top
U9,LM5164DDA,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,151.7625,-90.725,180,top
Y1,8Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,151.35,-123.4,90,top
